fips,lat,lon,elevation,slope1,slope2,slope3,slope4,slope5,slope6,slope7,slope8,aspectN,aspectE,aspectS,aspectW,aspectUnknown,WAT_LAND,NVG_LAND,URB_LAND,GRS_LAND,FOR_LAND,CULTRF_LAND,CULTIR_LAND,CULT_LAND,SQ1,SQ2,SQ3,SQ4,SQ5,SQ6,SQ7
6001,37.648081,-121.91330400000001,146,0.0224,0.1172,0.1629,0.193,0.1547,0.2397,0.0863,0.0238,0.2055,0.2326,0.1843,0.23800000000000002,0.1396,0.0,0.0,1.03110361099243,42.4786834716797,49.6773910522461,4.51037216186523,2.3024480342865,6.812819957733151,1,1,1,1,1,1,1
6003,38.61761,-119.798999,2630,0.0001,0.0026,0.0141,0.0596,0.096,0.3779,0.2515,0.1982,0.2477,0.2698,0.1697,0.3101,0.0027,0.0,16.9948997497559,0.00509999971836805,8.64690399169922,74.3530960083008,0.0,0.0,0.0,3,2,1,1,1,1,1
6005,38.44355,-120.653856,719,0.0003,0.0072,0.0461,0.1396,0.16399999999999998,0.2758,0.1513,0.2157,0.1887,0.2127,0.2741,0.317,0.0075,0.0,0.0,0.47429999709129295,14.3474931716919,81.5367050170898,3.64150166511536,0.0,3.64150166511536,1,1,3,1,1,1,2
6007,39.665959,-121.601919,373,0.0023,0.0263,0.1898,0.2433,0.1571,0.2899,0.0781,0.0132,0.1559,0.1918,0.184,0.4397,0.0286,0.0,0.0,7.292396068573001,24.9428863525391,64.1376113891602,3.1886465549469,0.43846058845520003,3.6271071434021,1,1,1,1,1,1,1
6009,38.187844,-120.55511499999999,499,0.0015,0.02,0.1085,0.2526,0.2027,0.3175,0.0855,0.0117,0.2674,0.1287,0.3029,0.2795,0.0215,0.0,0.0,0.5474284887313839,24.101444244384798,71.646598815918,1.5420231819152799,2.16250491142273,3.7045280933380096,1,1,2,1,1,1,2
6011,39.177739,-122.237563,40,0.1294,0.6388,0.17600000000000002,0.0452,0.0054,0.0052,0.0,0.0,0.0929,0.0895,0.0246,0.0248,0.7682,0.0,0.0,0.0228395573794842,29.373229980468803,61.1986694335938,3.79221725463867,5.613042831420901,9.40526008605957,1,1,2,1,1,1,2
6013,37.919478999999995,-121.95154299999999,395,0.0002,0.0037,0.0182,0.0662,0.1105,0.5149,0.2052,0.0811,0.2601,0.3128,0.2178,0.2054,0.0039,0.0,0.0,3.4115824699401895,43.40087890625,43.8220443725586,6.55360460281372,2.8118910789489706,9.365495681762699,1,1,2,1,1,1,2
6015,41.749903,-123.980998,493,0.0,0.0019,0.0115,0.0353,0.0496,0.2376,0.3108,0.3533,0.2456,0.2782,0.1772,0.2971,0.0019,0.0,0.0,0.0808999985456467,16.2248554229736,83.6942443847656,0.0,0.0,0.0,2,2,1,1,1,1,1
6017,38.785532,-120.534398,1442,0.0004,0.0066,0.0283,0.0999,0.1569,0.5155,0.1491,0.0433,0.3487,0.0825,0.3081,0.2537,0.006999999999999999,0.0,0.0,0.13609999418258698,8.94320011138916,90.9207000732422,0.0,0.0,0.0,3,2,2,1,1,1,2
6019,36.761006,-119.655019,106,0.1844,0.7454,0.07,0.0002,0.0,0.0,0.0,0.0,0.0122,0.0148,0.0182,0.025,0.9298,0.0,0.37724518775939897,0.0,2.17170882225037,18.155117034912102,0.0670166015625,79.2289123535156,79.2959289550781,1,1,1,1,1,1,1
6021,39.602546000000004,-122.4017,140,0.0105,0.1005,0.2078,0.285,0.1873,0.1892,0.019,0.0007,0.1482,0.3147,0.1952,0.2309,0.111,0.0,0.0,0.0108000002801418,58.7968330383301,32.875583648681605,8.31678295135498,0.0,8.31678295135498,1,1,2,1,1,1,2
6023,40.706672999999995,-123.92581799999999,628,0.0,0.0027,0.0118,0.0583,0.1013,0.556,0.2136,0.0563,0.2474,0.2034,0.3342,0.2123,0.0027,0.0,0.0,0.0520999990403652,11.2268381118774,88.72106170654301,0.0,0.0,0.0,2,2,1,1,1,1,1
6025,33.040816,-115.355395,7,0.2073,0.6409999999999999,0.1504,0.0013,0.0,0.0,0.0,0.0,0.0239,0.0197,0.034,0.0741,0.8483,0.0,19.2056579589844,0.0058685354888439204,1.82001948356628,4.04642724990845,0.0,74.9220275878906,74.9220275878906,1,1,1,1,3,1,1
6027,36.561977,-117.403927,1259,0.0,0.0012,0.0134,0.1093,0.1065,0.2959,0.2557,0.218,0.2111,0.3978,0.1885,0.2014,0.0012,0.0,78.8711318969727,0.0,20.213209152221697,0.9104461073875431,0.0,0.00521294586360455,0.00521294586360455,1,1,3,1,1,2,3
6029,35.346629,-118.729506,407,0.0041,0.0351,0.0907,0.2134,0.2244,0.3497,0.0717,0.0109,0.1853,0.15,0.2273,0.3982,0.0392,0.0,18.2216682434082,0.489394336938858,29.065670013427702,41.2446441650391,5.3326516151428205,5.6459698677063,10.9786214828491,1,1,3,1,1,1,3
6031,36.072478000000004,-119.81553000000001,56,0.3431,0.6444,0.0125,0.0,0.0,0.0,0.0,0.0,0.0017,0.0037,0.0007,0.0064,0.9875,0.0,2.08388328552246,0.0,3.51795387268066,25.4296722412109,0.272293090820313,68.69619750976561,68.9684906005859,7,7,7,7,7,7,7
6033,39.094802,-122.746757,546,0.0109,0.1309,0.1759,0.1041,0.0689,0.3269,0.1719,0.0105,0.1999,0.2015,0.3305,0.1263,0.1418,44.0349998474121,3.48899936676025,0.944459736347198,4.33284044265747,44.0496597290039,0.0,3.14904093742371,3.14904093742371,7,7,7,7,7,7,7
6035,40.721089,-120.629931,1954,0.0007,0.0149,0.0613,0.2097,0.19899999999999998,0.4279,0.0819,0.0046,0.1261,0.2268,0.23,0.4015,0.0156,0.0,4.0,0.0187999997287989,15.587293624877901,77.9808807373047,0.851840853691101,1.5611840486526498,2.41302490234375,3,2,2,1,1,1,2
6037,34.196397999999995,-118.26186200000001,197,0.0075,0.0953,0.2074,0.2263,0.1808,0.2516,0.0292,0.0019,0.1235,0.1671,0.3543,0.2523,0.1028,0.0,2.4408095100625403e-08,99.95519256591801,2.10285193702475e-07,0.0,0.0,0.0448071993887424,0.0448071993887424,1,1,1,1,1,1,1
6039,37.210039,-119.749852,633,0.0012,0.0161,0.1254,0.3975,0.2535,0.1816,0.0229,0.0018,0.1327,0.2046,0.2797,0.3657,0.0173,0.0,0.0,0.495900005102158,50.1394844055176,42.6205596923828,6.74405717849731,0.0,6.74405717849731,1,1,2,1,1,1,2
6041,38.051817,-122.745974,164,0.0016,0.0159,0.0513,0.0933,0.1214,0.4584,0.2329,0.0252,0.2659,0.2224,0.2234,0.2708,0.0175,7.99489974975586,0.0,0.181999996304512,9.32888698577881,82.3866195678711,0.10759408026933699,0.0,0.10759408026933699,1,1,1,1,1,1,1
6043,37.570034,-119.91286000000001,1079,0.0001,0.0052,0.0412,0.1539,0.1622,0.4297,0.17300000000000001,0.0347,0.1149,0.2539,0.289,0.3369,0.0053,0.0,0.0,0.7100345492362979,8.869439125061039,90.1707611083984,0.0,0.249765500426292,0.249765500426292,1,1,2,1,1,1,2
6045,39.432388,-123.442881,550,0.0089,0.0629,0.0637,0.0852,0.1119,0.4271,0.2107,0.0296,0.2499,0.2572,0.2254,0.1957,0.0718,0.0,0.0,0.0804999992251396,8.948179244995119,90.97132110595699,0.0,0.0,0.0,2,2,1,1,1,1,1
6047,37.194806,-120.722802,30,0.2545,0.7268,0.0187,0.0,0.0,0.0,0.0,0.0,0.0036,0.0044,0.0035,0.0072,0.9813,0.0,3.8559103012085,0.345694422721863,10.5318145751953,14.1137866973877,4.88575744628906,66.2670364379883,71.1527938842773,1,1,1,1,1,1,1
6049,41.592919,-120.71837,1534,0.0445,0.3899,0.3515,0.1131,0.0537,0.0376,0.0097,0.0,0.11599999999999999,0.1879,0.1222,0.1395,0.4344,0.0,4.82954406738281,0.0978999957442284,36.09877395629879,26.1429786682129,0.157463073730469,32.67333984375,32.830802917480504,1,1,2,1,1,1,2
6051,37.915836,-118.87516699999999,2480,0.0036,0.0406,0.1674,0.4833,0.1486,0.1334,0.022000000000000002,0.0011,0.2831,0.1742,0.0703,0.4282,0.0442,9.0,0.0,0.00779999932274222,17.2682094573975,72.0769805908203,0.12176299095153802,1.5252469778060902,1.64700996875763,1,1,1,1,2,1,1
6053,36.240107,-121.315573,393,0.0002,0.0053,0.0298,0.0948,0.1203,0.40399999999999997,0.2307,0.1149,0.2552,0.2819,0.1609,0.2965,0.0055,0.0,0.0,0.0384727083146572,14.2238674163818,85.24249267578129,0.0,0.49516698718071,0.49516698718071,1,1,3,1,1,1,2
6055,38.507351,-122.32599499999999,444,0.0012,0.0171,0.0653,0.1221,0.1199,0.4174,0.2035,0.0535,0.2725,0.1779,0.2571,0.2742,0.0183,0.0,0.0,0.0,5.17602920532227,52.621910095214794,0.0,42.2020606994629,42.2020606994629,1,1,1,1,1,1,1
6057,39.295190999999996,-120.77344599999999,1514,0.0009,0.0142,0.0703,0.1512,0.1352,0.3572,0.2067,0.0643,0.2226,0.1648,0.2634,0.3341,0.0151,0.0,0.0,0.0243999995291233,11.1338300704956,87.380615234375,1.46115469932556,0.0,1.46115469932556,2,2,1,1,1,1,1
6059,33.675686999999996,-117.777207,124,0.0184,0.2316,0.4238,0.235,0.0677,0.0234,0.0001,0.0,0.1124,0.1224,0.1742,0.341,0.25,0.0,5.9987964630127,37.630298614502,29.2882404327393,26.2692527770996,0.0,0.813413381576538,0.813413381576538,1,1,1,1,1,1,1
6061,39.062032,-120.722718,903,0.0003,0.0028,0.0148,0.0444,0.0571,0.2061,0.1931,0.4814,0.1999,0.2608,0.3,0.2362,0.0031,1.99479997158051,0.0,0.18239998817443803,10.9384260177612,85.4249725341797,1.4594013690948502,0.0,1.4594013690948502,3,2,1,1,1,1,1
6063,39.99517,-120.829516,1728,0.0003,0.0034,0.0198,0.0766,0.124,0.4969,0.2153,0.0637,0.0642,0.1718,0.3252,0.4351,0.0037,0.0,0.0,0.145500004291534,8.94235992431641,90.91213989257808,0.0,0.0,0.0,3,2,1,1,1,1,1
6065,33.729828000000005,-116.00223899999999,718,0.0016,0.0232,0.1902,0.1849,0.1113,0.2936,0.1589,0.0363,0.0757,0.175,0.4738,0.2507,0.0248,0.0,62.949367523193395,0.0,37.049633026123,0.0,0.0,0.00100010295864195,0.00100010295864195,1,1,1,1,1,2,1
6067,38.450010999999996,-121.340441,18,0.1563,0.7004,0.1367,0.0065,0.0001,0.0,0.0,0.0,0.0252,0.0374,0.0278,0.0529,0.8567,0.0,0.0,0.0,23.2263507843018,26.260889053344698,1.81296157836914,48.699798583984396,50.512760162353494,1,1,1,1,1,1,1
6069,36.610702,-121.085296,818,0.0014,0.0144,0.0321,0.0633,0.0965,0.42700000000000005,0.2978,0.0675,0.188,0.17300000000000001,0.3063,0.3169,0.0158,0.0,5.42601776123047,0.0301950313150883,51.095001220703104,28.7484569549561,9.18790817260742,5.5124201774597195,14.700328826904302,1,1,1,1,1,1,1
6071,34.85722,-116.181197,467,0.0106,0.3227,0.5612,0.07200000000000001,0.0204,0.013000000000000001,0.0001,0.0,0.0462,0.0042,0.0561,0.5602,0.3333,0.0,66.0786285400391,0.0259999986737967,33.8890419006348,0.0,0.0,0.0063296309672296,0.0063296309672296,2,1,1,1,1,2,1
6073,33.023604,-116.776117,704,0.0004,0.0043,0.0365,0.1461,0.1604,0.336,0.1818,0.1345,0.2536,0.13,0.2685,0.3432,0.0047,0.0,0.610576629638672,0.9857999682426449,43.002082824707,52.8385353088379,2.54417490959167,0.0188291408121586,2.5630040168762203,1,1,2,1,1,1,1
6075,37.727239000000004,-123.032229,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
6077,37.935034,-121.27223700000002,10,0.09,0.6673,0.23,0.0119,0.0008,0.0,0.0,0.0,0.0511,0.0619,0.0518,0.0779,0.7573,0.0,0.6573100090026861,0.0,5.10856676101685,27.4134902954102,0.269569396972656,66.5510635375977,66.8206329345703,1,1,1,1,1,1,1
6079,35.385227,-120.44753999999999,640,0.0011,0.0135,0.0827,0.1901,0.172,0.4022,0.1314,0.006999999999999999,0.1871,0.1556,0.3411,0.3016,0.0146,0.0,0.0,0.14192162454128301,25.036317825317397,71.365119934082,2.5197956562042205,0.9368445873260501,3.45664024353027,1,1,2,1,1,1,2
6081,37.414664,-122.37154199999999,387,0.0004,0.004,0.0198,0.083,0.139,0.5339,0.2035,0.0164,0.1774,0.2689,0.2613,0.28800000000000003,0.0044,0.0,0.0,0.8262000083923341,24.618450164794897,70.1666717529297,4.29174423217773,0.0969336032867432,4.38867807388306,1,1,1,1,1,1,1
6083,34.537378000000004,-120.03848500000001,150,0.0009,0.0119,0.0525,0.0964,0.0898,0.2992,0.1189,0.0206,0.0257,0.1805,0.2527,0.2185,0.0128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
6085,37.220777000000005,-121.69062199999999,376,0.0022,0.0206,0.0598,0.1136,0.1379,0.4381,0.2147,0.0131,0.1636,0.1706,0.3177,0.3253,0.0228,0.0,0.0,8.84738731384277,24.960861206054698,43.045017242431605,3.19025421142578,19.9564800262451,23.1467342376709,3,2,2,1,1,1,2
6087,37.012488,-122.007205,31,0.011000000000000001,0.1092,0.132,0.0848,0.035,0.0284,0.0018,0.0,0.0147,0.0608,0.1221,0.0844,0.1202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
6089,40.760521999999995,-122.04355,484,0.0015,0.0277,0.1366,0.2679,0.2039,0.2737,0.0799,0.0088,0.1803,0.1551,0.3175,0.3179,0.0292,0.0,0.0,0.0558209829032421,10.3024091720581,79.9389266967773,0.383396148681641,9.3194465637207,9.70284271240234,1,1,2,1,1,1,2
6091,39.576925,-120.521993,2239,0.0005,0.0099,0.0487,0.1625,0.1978,0.4367,0.1325,0.0114,0.2836,0.1922,0.3557,0.1581,0.0104,0.0,0.0,0.0370999984443188,16.535203933715803,83.4276962280273,0.0,0.0,0.0,3,2,2,1,1,1,2
6093,41.587986,-122.53328700000002,825,0.0529,0.2138,0.1792,0.1749,0.1178,0.1894,0.0549,0.0171,0.1908,0.1952,0.1575,0.1898,0.2667,0.0,0.0,0.39394345879554704,14.6384792327881,67.419319152832,1.8230276107788101,15.72523021698,17.5482578277588,1,1,1,1,1,1,1
6095,38.267226,-121.939594,15,0.0973,0.5731,0.2995,0.0292,0.0008,0.0001,0.0,0.0,0.0807,0.0583,0.0445,0.1461,0.6704,0.0,6.750823974609379,0.4291404187679289,41.1888008117676,43.5900955200195,5.46623039245605,2.5749089717865,8.041139602661131,1,1,1,1,1,1,1
6097,38.532574,-122.945194,52,0.0139,0.1416,0.33,0.2981,0.1049,0.0984,0.0128,0.0003,0.1807,0.3075,0.1717,0.1846,0.1555,0.0,0.0,0.0,19.054340362548803,61.4137954711914,1.14289474487305,18.3889694213867,19.5318641662598,1,1,1,1,1,1,1
6099,37.562384,-121.002656,23,0.1099,0.7013,0.1868,0.002,0.0,0.0,0.0,0.0,0.034,0.0457,0.0427,0.0664,0.8112,0.0,0.000547858187928796,0.0,0.00331029831431806,0.0393013283610344,0.0,99.9568405151367,99.9568405151367,1,1,1,1,1,1,1
6101,39.035257,-121.702758,10,0.2252,0.6261,0.1409,0.0078,0.0,0.0,0.0,0.0,0.0286,0.044000000000000004,0.0256,0.0505,0.8513,0.0,0.0,0.0,0.845109939575195,8.59181022644043,0.0,90.56307983398442,90.56307983398442,1,1,1,1,1,1,1
6103,40.126156,-122.232276,87,0.1693,0.6626,0.1529,0.0141,0.0001,0.001,0.0,0.0,0.0523,0.0546,0.0381,0.0231,0.8319,0.0,0.0,0.0,17.670852661132802,20.7658157348633,1.37253189086914,60.190799713134794,61.5633316040039,1,1,1,1,1,1,1
6105,40.647724,-123.11440400000001,1005,0.0,0.0011,0.0073,0.0323,0.0512,0.3217,0.3901,0.1963,0.2454,0.3191,0.2018,0.2326,0.0011,0.0,0.0,0.15180000662803603,15.2969331741333,80.2929382324219,4.25832843780518,0.0,4.25832843780518,3,2,1,1,1,1,1
6107,36.230453000000004,-118.780542,1451,0.0,0.001,0.005,0.0199,0.05,0.3836,0.3636,0.1769,0.1281,0.1153,0.3575,0.3981,0.001,0.0,1.51619815826416,0.0187608134001493,10.517118453979501,85.846794128418,2.06565427780151,0.0354741811752319,2.10112857818604,1,1,4,1,1,1,4
6109,38.021451,-119.964708,1570,0.0003,0.0038,0.0313,0.1112,0.1904,0.5263,0.11199999999999999,0.0247,0.10400000000000001,0.2695,0.3145,0.3079,0.0041,0.0,0.0,0.0128999995067716,19.129083633422898,74.0402450561523,6.81777191162109,0.0,6.81777191162109,3,2,1,1,1,1,1
6111,34.358742,-119.13314299999999,67,0.0563,0.4106,0.265,0.0709,0.0486,0.1048,0.0308,0.013000000000000001,0.0524,0.1444,0.2079,0.1284,0.4669,0.0,0.0,0.0,6.73597526550293,17.9599323272705,0.436431884765625,74.86766052246091,75.30409240722659,1,1,1,2,1,1,1
6113,38.679268,-121.903178,30,0.1847,0.7147,0.0986,0.002,0.0,0.0,0.0,0.0,0.0202,0.0398,0.0216,0.019,0.8994,0.0,0.0,0.0,5.126426696777339,17.0832138061523,0.302642822265625,77.4877166748047,77.7903594970703,1,1,2,1,1,1,2
6115,39.270026,-121.34428,260,0.0012,0.0162,0.0908,0.2251,0.2192,0.3521,0.0778,0.0176,0.223,0.2101,0.1804,0.3691,0.0174,0.0,0.0,0.746892392635345,34.6775588989258,60.0232963562012,4.15220928192139,0.40004310011863703,4.552252292633059,1,1,1,1,1,1,1
48001,31.841265999999997,-95.661744,151,0.0163,0.1834,0.46799999999999997,0.2904,0.0388,0.0031,0.0,0.0,0.1768,0.2439,0.2015,0.1781,0.1997,0.0,0.0,5.082600116729741,12.429584503173801,32.0530776977539,50.254310607910206,0.18042589724063898,50.43473815917971,3,2,1,1,1,1,1
48003,32.312258,-102.640206,972,0.1259,0.7023,0.1714,0.0004,0.0,0.0,0.0,0.0,0.0402,0.0435,0.0398,0.0483,0.8282,0.0,41.5794258117676,0.0388999991118908,58.3816719055176,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1
48005,31.251951000000002,-94.611056,82,0.0436,0.3783,0.4833,0.0943,0.0005,0.0,0.0,0.0,0.1061,0.1599,0.1586,0.1535,0.4219,0.0,0.0,0.35805353522300704,9.6556339263916,89.89624786376949,0.0714184120297432,0.018646439537406002,0.0900648534297943,3,2,1,1,1,1,1
48007,28.104225,-96.977983,3,0.1137,0.2243,0.0173,0.0,0.0,0.0,0.0,0.0,0.0038,0.0048,0.0039,0.0048,0.33799999999999997,82.98789978027341,0.0,0.0120999999344349,15.350651741027802,0.303482055664063,1.34586596488953,0.0,1.34586596488953,1,1,2,3,1,1,4
48009,33.616305,-98.687267,322,0.0819,0.632,0.2724,0.0133,0.0004,0.0,0.0,0.0,0.0825,0.0746,0.0498,0.0792,0.7139,0.0,0.0,0.0245999991893768,66.47377777099611,0.353141844272614,33.1366806030273,0.0117988102138042,33.1484794616699,1,1,1,1,1,1,1
48011,34.964179,-101.356636,1015,0.0563,0.3818,0.2384,0.2,0.0969,0.0266,0.0,0.0,0.1536,0.1945,0.1178,0.096,0.4381,0.0,0.0,0.05889999866485599,69.16013336181639,28.9949169158936,0.0,1.78604698181152,1.78604698181152,1,1,1,1,1,1,1
48013,28.894296,-98.528187,121,0.0657,0.615,0.3189,0.0004,0.0,0.0,0.0,0.0,0.0733,0.1007,0.076,0.0693,0.6807,0.0,0.0,0.11379999667406099,69.71091461181639,10.2754640579224,17.2339019775391,2.66592311859131,19.8998241424561,1,1,1,2,1,1,3
48015,29.891901,-96.27017,59,0.0547,0.4403,0.4684,0.0366,0.0,0.0,0.0,0.0,0.1171,0.1539,0.1037,0.1303,0.495,0.0,0.0,1.23800003528595,53.3697700500488,1.89660120010376,42.393035888671896,1.10259103775024,43.4956283569336,1,1,1,1,1,1,1
48017,34.067521,-102.830345,1180,0.11199999999999999,0.674,0.2001,0.0139,0.0,0.0,0.0,0.0,0.0352,0.0656,0.057,0.0562,0.7859999999999999,0.0,0.0,0.0141999991610646,84.0422439575195,0.0,0.0,15.9435596466064,15.9435596466064,1,1,1,1,1,1,1
48019,29.755747999999997,-99.26068199999999,487,0.0055,0.06,0.2205,0.275,0.1458,0.2639,0.0293,0.0,0.2475,0.2757,0.2536,0.1577,0.0655,0.0,0.0,0.153699994087219,13.8756799697876,85.5768737792969,0.0,0.393746614456177,0.393746614456177,1,1,3,1,1,1,2
48021,30.103128,-97.311859,111,0.1009,0.4323,0.3358,0.1162,0.0114,0.0034,0.0,0.0,0.1223,0.122,0.11199999999999999,0.1105,0.5332,0.0,0.0,0.6195999979972839,21.148483276367198,59.4438667297363,18.611011505127,0.17703780531883198,18.788049697876,1,1,1,1,1,1,1
48023,33.618171999999994,-99.19722800000001,404,0.0503,0.5332,0.376,0.04,0.0005,0.0,0.0,0.0,0.0645,0.125,0.1108,0.1162,0.5835,0.0,0.0,0.00389999966137111,77.4823913574219,0.0695152059197426,21.821144104003896,0.6230478286743161,22.444190979003896,1,1,1,1,1,1,1
48025,28.416077,-97.742586,61,0.1142,0.6679,0.2165,0.0014,0.0,0.0,0.0,0.0,0.0396,0.0662,0.0574,0.0547,0.7821,0.0,0.0,0.6976999640464779,63.5429573059082,5.659846305847171,29.0963859558105,1.0031089782714802,30.099494934082,1,1,1,1,1,1,1
48027,31.042109999999997,-97.481921,170,0.0467,0.3896,0.4581,0.0893,0.0135,0.0028,0.0,0.0,0.1057,0.2027,0.1558,0.0995,0.4363,0.0,0.0,0.713899970054626,57.784782409668,10.390453338623,30.533422470092802,0.57744038105011,31.110862731933604,1,1,1,3,1,1,4
48029,29.448671,-98.520147,190,0.0758,0.4915,0.3868,0.0436,0.0023,0.0,0.0,0.0,0.0615,0.1296,0.1169,0.1247,0.5673,0.0,0.0,3.67729997634888,54.122344970703104,13.0544767379761,26.046571731567397,3.0993061065673797,29.145877838134798,1,1,1,1,1,1,1
48031,30.265604999999997,-98.399977,417,0.004,0.0553,0.32,0.4739,0.1071,0.0397,0.0,0.0,0.2389,0.3211,0.2019,0.1788,0.0593,0.0,0.0,0.584500014781952,37.9755058288574,53.262996673584006,6.75968837738037,1.41730999946594,8.17699813842773,1,1,3,1,1,1,2
48033,32.744062,-101.433033,739,0.0633,0.4307,0.4075,0.0862,0.0096,0.0027,0.0,0.0,0.0873,0.1769,0.1296,0.1122,0.494,0.0,0.0,0.0,99.90493774414058,0.0,0.0,0.095061331987381,0.095061331987381,1,1,1,1,1,1,1
48035,31.900764000000002,-97.637632,245,0.027999999999999997,0.2429,0.3807,0.2344,0.0892,0.0245,0.0003,0.0,0.1415,0.2035,0.1945,0.1896,0.2709,0.0,0.0,5.68059968948364,48.4921379089355,39.895072937011705,4.68015146255493,1.25203704833984,5.93218851089478,1,1,1,1,1,1,1
48037,33.446051000000004,-94.422375,94,0.0494,0.45,0.4475,0.0522,0.0009,0.0,0.0,0.0,0.1072,0.1272,0.1314,0.1348,0.4994,11.963000297546401,0.0,0.7361000180244449,7.030194282531741,70.6624526977539,9.46988487243652,0.13836769759655,9.60825252532959,3,2,1,1,1,1,1
